PRODUCTNAME,CUSTOMERNUMBER
1982 Ducati 900 Monster,286
1997 BMW F650 ST,286
1982 Ducati 996 R,286
2002 Yamaha YZR M1,286
1974 Ducati 350 Mk3 Desmo,286
ATA: B757-300,286
1962 LanciaA Delta 16V,286
1957 Chevy Pickup,286
1998 Chrysler Plymouth Prowler,286
1964 Mercedec Tour Bus,286
1968 Dodge Charger,298
1970 Plymouth Hemi Cuda,298
1969 Dodge Charger,298
1957 Corvette Convertible,298
1993 Mazda RX-7,298
1948 Porsche 356-A Roadster,298
1992 Ferrari 360 Spider red,298
1969 Dodge Super Bee,298
1976 Ford Gran Torino,298
1968 Ford Mustang,298
1982 Lamborghini Diablo,298
1971 Alpine Renault 1600s,298
1948 Porsche Type 356 Roadster,298
1961 Chevrolet Impala,298
1995 Honda Civic,298
1999 Indy 500 Monte Carlo SS,298
1956 Porsche 356A Coupe,298
Corsair F4U ( Bird Cage),299
1900s Vintage Tri-Plane,299
American Airlines: MD-11S,299
America West Airlines B757-200,299
American Airlines: B767-300,299
1930 Buick Marquette Phaeton,299
1928 Ford Phaeton Deluxe,299
1937 Horch 930V Limousine,299
F/A 18 Hornet 1/72,299
1900s Vintage Bi-Plane,299
1928 British Royal Navy Airplane,299
1980s Black Hawk Helicopter,299
P-51-D Mustang,299
1948 Porsche 356-A Roadster,311
1969 Dodge Charger,311
1956 Porsche 356A Coupe,311
1992 Ferrari 360 Spider red,311
1982 Lamborghini Diablo,311
1972 Alfa Romeo GTA,314
The Mayflower,314
18th century schooner,314
1904 Buick Runabout,314
Collectable Wooden Train,314
Pont Yacht,314
1903 Ford Model A,314
1912 Ford Model T Delivery Wagon,314
1940 Ford Delivery Sedan,314
The Schooner Bluenose,314
The USS Constitution Ship,314
The Titanic,314
The Queen Mary,314
1999 Yamaha Speed Boat,314
1941 Chevrolet Special Deluxe Cabriolet,314
1900s Vintage Tri-Plane,319
1928 British Royal Navy Airplane,319
1936 Harley Davidson El Knucklehead,319
P-51-D Mustang,319
2003 Harley-Davidson Eagle Drag Bike,319
1996 Moto Guzzi 1100i,319
1960 BSA Gold Star DBD34 1960,319
Corsair F4U ( Bird Cage),319
1997 BMW F650 ST,319
1928 Ford Phaeton Deluxe,319
1930 Buick Marquette Phaeton,319
American Airlines: B767-300,319
America West Airlines B757-200,319
ATA: B757-300,319
F/A 18 Hornet 1/72,319
American Airlines: MD-11S,319
2002 Chevy Corvette,323
1969 Chevrolet Camaro Z28,323
1917 Grand Touring Sedan,323
1911 Ford Town Car,323
1932 Model A Ford J-Coupe,323
1970 Chevy Chevelle SS 454,323
1957 Ford Thunderbird,323
1936 Mercedes Benz 500k Roadster,323
1966 Shelby Cobra 427 S/C,323
1939 Chevrolet Deluxe Coupe,323
1932 Alfa Romeo 8C2300 Spider Sport,323
1969 Harley Davidson Ultimate Chopper,323
1968 Ford Mustang,323
2003 Harley-Davidson Eagle Drag Bike,323
1952 Citroen-15CV,323
2002 Suzuki XREO,323
1968 Dodge Charger,323
1970 Plymouth Hemi Cuda,323
1969 Dodge Charger,323
1948 Porsche 356-A Roadster,323
1936 Harley Davidson El Knucklehead,323
1969 Dodge Super Bee,323
1997 BMW R 1100 S,323
1960 BSA Gold Star DBD34 1960,323
1996 Moto Guzzi 1100i,323
1949 Jaguar XK 120,323
1937 Horch 930V Limousine,324
1980s Black Hawk Helicopter,324
Corsair F4U ( Bird Cage),324
1900s Vintage Bi-Plane,324
1941 Chevrolet Special Deluxe Cabriolet,324
1936 Harley Davidson El Knucklehead,328
1997 BMW R 1100 S,328
2002 Suzuki XREO,328
1912 Ford Model T Delivery Wagon,328
The Schooner Bluenose,328
The USS Constitution Ship,328
1969 Harley Davidson Ultimate Chopper,328
1996 Moto Guzzi 1100i,328
2003 Harley-Davidson Eagle Drag Bike,328
1950's Chicago Surface Lines Streetcar,334
1962 City of Detroit Streetcar,334
1969 Corvair Monza,334
2001 Ferrari Enzo,334
1970 Triumph Spitfire,334
1969 Ford Falcon,334
1937 Horch 930V Limousine,339
HMS Bounty,339
1941 Chevrolet Special Deluxe Cabriolet,339
1999 Yamaha Speed Boat,339
1980s Black Hawk Helicopter,339
1972 Alfa Romeo GTA,339
Boeing X-32A JSF,339
1900s Vintage Bi-Plane,339
1940 Ford Delivery Sedan,339
1969 Ford Falcon,344
2001 Ferrari Enzo,344
1972 Alfa Romeo GTA,347
1999 Yamaha Speed Boat,347
1941 Chevrolet Special Deluxe Cabriolet,347
1900s Vintage Bi-Plane,347
1937 Horch 930V Limousine,347
1940 Ford Delivery Sedan,347
HMS Bounty,347
Boeing X-32A JSF,347
1917 Grand Touring Sedan,350
1939 Chevrolet Deluxe Coupe,350
1970 Chevy Chevelle SS 454,350
1911 Ford Town Car,350
1932 Alfa Romeo 8C2300 Spider Sport,350
1932 Model A Ford J-Coupe,350
1957 Ford Thunderbird,350
1962 City of Detroit Streetcar,353
Diamond T620 Semi-Skirted Tanker,353
1950's Chicago Surface Lines Streetcar,353
1954 Greyhound Scenicruiser,353
1992 Porsche Cayenne Turbo Silver,353
1969 Ford Falcon,353
2001 Ferrari Enzo,353
1972 Alfa Romeo GTA,353
1982 Ducati 996 R,353
1961 Chevrolet Impala,353
1966 Shelby Cobra 427 S/C,353
1948 Porsche Type 356 Roadster,353
1999 Indy 500 Monte Carlo SS,353
1965 Aston Martin DB5,353
1992 Porsche Cayenne Turbo Silver,357
1962 City of Detroit Streetcar,357
The Mayflower,357
1970 Triumph Spitfire,357
Collectable Wooden Train,357
1903 Ford Model A,357
1969 Ford Falcon,357
1969 Corvair Monza,357
2001 Ferrari Enzo,357
1950's Chicago Surface Lines Streetcar,357
1957 Vespa GS150,362
1957 Corvette Convertible,362
1982 Ducati 900 Monster,362
1961 Chevrolet Impala,362
1982 Ducati 996 R,362
1974 Ducati 350 Mk3 Desmo,362
The Titanic,362
2002 Yamaha YZR M1,362
1972 Alfa Romeo GTA,362
1912 Ford Model T Delivery Wagon,362
The Schooner Bluenose,362
The USS Constitution Ship,362
1962 LanciaA Delta 16V,363
1938 Cadillac V-16 Presidential Limousine,363
1939 Chevrolet Deluxe Coupe,363
18th Century Vintage Horse Carriage,363
1934 Ford V8 Coupe,363
1913 Ford Model T Speedster,363
1928 Mercedes-Benz SSK,363
1926 Ford Fire Engine,363
1936 Mercedes-Benz 500K Special Roadster,363
1937 Lincoln Berline,363
1940 Ford Pickup Truck,363
1958 Setra Bus,363
1952 Alpine Renault 1300,363
1932 Model A Ford J-Coupe,363
Boeing X-32A JSF,379
HMS Bounty,379
1937 Horch 930V Limousine,379
1900s Vintage Bi-Plane,379
1980s Black Hawk Helicopter,379
1999 Yamaha Speed Boat,381
1941 Chevrolet Special Deluxe Cabriolet,381
1980s Black Hawk Helicopter,381
1934 Ford V8 Coupe,382
1936 Chrysler Airflow,382
1969 Harley Davidson Ultimate Chopper,382
1968 Ford Mustang,382
2002 Suzuki XREO,382
1968 Dodge Charger,382
1970 Plymouth Hemi Cuda,382
1974 Ducati 350 Mk3 Desmo,382
1982 Ducati 900 Monster,382
2002 Yamaha YZR M1,382
F/A 18 Hornet 1/72,382
1969 Dodge Charger,382
1957 Vespa GS150,385
1957 Corvette Convertible,385
1982 Ducati 900 Monster,385
1976 Ford Gran Torino,385
1999 Indy 500 Monte Carlo SS,386
1968 Dodge Charger,386
1970 Plymouth Hemi Cuda,386
1969 Dodge Charger,386
1993 Mazda RX-7,386
1965 Aston Martin DB5,386
1948 Porsche 356-A Roadster,386
1995 Honda Civic,386
1992 Ferrari 360 Spider red,386
1948 Porsche Type 356 Roadster,386
1966 Shelby Cobra 427 S/C,386
1982 Lamborghini Diablo,386
1971 Alpine Renault 1600s,386
1968 Ford Mustang,386
1956 Porsche 356A Coupe,386
American Airlines: MD-11S,398
P-51-D Mustang,398
The USS Constitution Ship,398
HMS Bounty,398
The Schooner Bluenose,398
Corsair F4U ( Bird Cage),398
1940 Ford Delivery Sedan,398
1937 Horch 930V Limousine,398
1912 Ford Model T Delivery Wagon,398
1900s Vintage Bi-Plane,398
1928 British Royal Navy Airplane,398
1997 BMW R 1100 S,398
1936 Harley Davidson El Knucklehead,398
2003 Harley-Davidson Eagle Drag Bike,398
1996 Moto Guzzi 1100i,398
1982 Camaro Z28,398
1996 Peterbilt 379 Stake Bed with Outrigger,398
1939 Cadillac Limousine,398
1940 Ford Pickup Truck,398
Boeing X-32A JSF,398
1952 Alpine Renault 1300,398
1958 Setra Bus,398
1968 Ford Mustang,406
2002 Suzuki XREO,406
1969 Dodge Super Bee,406
1976 Ford Gran Torino,406
1957 Vespa GS150,406
1957 Corvette Convertible,406
1997 BMW R 1100 S,406
1970 Plymouth Hemi Cuda,406
1971 Alpine Renault 1600s,406
1982 Ducati 900 Monster,406
2002 Yamaha YZR M1,406
1974 Ducati 350 Mk3 Desmo,406
1969 Harley Davidson Ultimate Chopper,406
1961 Chevrolet Impala,406
1982 Ducati 996 R,406
1936 Mercedes-Benz 500K Special Roadster,412
1972 Alfa Romeo GTA,412
1980s Black Hawk Helicopter,412
1941 Chevrolet Special Deluxe Cabriolet,412
1900s Vintage Bi-Plane,412
1937 Horch 930V Limousine,412
1940 Ford Delivery Sedan,412
HMS Bounty,412
Boeing X-32A JSF,412
1937 Lincoln Berline,412
1999 Yamaha Speed Boat,412
1917 Grand Touring Sedan,412
1932 Model A Ford J-Coupe,412
1928 Mercedes-Benz SSK,412
1917 Maxwell Touring Car,412
1932 Alfa Romeo 8C2300 Spider Sport,412
1939 Chevrolet Deluxe Coupe,412
1938 Cadillac V-16 Presidential Limousine,412
1936 Mercedes Benz 500k Roadster,412
1911 Ford Town Car,412
F/A 18 Hornet 1/72,415
1980s Black Hawk Helicopter,415
1999 Yamaha Speed Boat,415
1941 Chevrolet Special Deluxe Cabriolet,415
1900s Vintage Bi-Plane,415
Corsair F4U ( Bird Cage),415
1940 Ford Delivery Sedan,415
American Airlines: MD-11S,415
1930 Buick Marquette Phaeton,415
American Airlines: B767-300,415
1937 Horch 930V Limousine,415
Boeing X-32A JSF,415
America West Airlines B757-200,415
HMS Bounty,415
18th century schooner,424
1962 City of Detroit Streetcar,424
Pont Yacht,424
The Queen Mary,424
The Titanic,424
The Mayflower,424
1970 Triumph Spitfire,424
1904 Buick Runabout,424
1972 Alfa Romeo GTA,424
1928 British Royal Navy Airplane,447
1900s Vintage Tri-Plane,447
1928 Ford Phaeton Deluxe,447
1930 Buick Marquette Phaeton,447
American Airlines: B767-300,447
ATA: B757-300,447
F/A 18 Hornet 1/72,447
P-51-D Mustang,447
1997 BMW F650 ST,447
1982 Camaro Z28,448
1996 Peterbilt 379 Stake Bed with Outrigger,448
1980?s GM Manhattan Express,448
1962 Volkswagen Microbus,448
1939 Cadillac Limousine,448
18th Century Vintage Horse Carriage,448
1934 Ford V8 Coupe,448
1913 Ford Model T Speedster,448
1940s Ford truck,448
1940 Ford Pickup Truck,448
1958 Setra Bus,448
1962 LanciaA Delta 16V,448
1952 Alpine Renault 1300,448
1926 Ford Fire Engine,448
American Airlines: B767-300,450
1928 British Royal Navy Airplane,450
1960 BSA Gold Star DBD34 1960,450
1900s Vintage Tri-Plane,450
1997 BMW F650 ST,450
1928 Ford Phaeton Deluxe,450
1930 Buick Marquette Phaeton,450
America West Airlines B757-200,450
1913 Ford Model T Speedster,450
F/A 18 Hornet 1/72,450
American Airlines: MD-11S,450
1934 Ford V8 Coupe,450
18th Century Vintage Horse Carriage,450
1917 Maxwell Touring Car,450
P-51-D Mustang,450
1936 Chrysler Airflow,450
ATA: B757-300,450
1980s Black Hawk Helicopter,450
Corsair F4U ( Bird Cage),450
1958 Setra Bus,455
1952 Alpine Renault 1300,455
1962 LanciaA Delta 16V,455
1940 Ford Pickup Truck,455
1940s Ford truck,455
1980?s GM Manhattan Express,455
1996 Peterbilt 379 Stake Bed with Outrigger,455
1982 Camaro Z28,455
1939 Cadillac Limousine,455
2002 Suzuki XREO,456
1969 Dodge Super Bee,456
1974 Ducati 350 Mk3 Desmo,456
1982 Ducati 996 R,456
1961 Chevrolet Impala,456
2002 Yamaha YZR M1,456
1982 Ducati 900 Monster,456
1957 Corvette Convertible,456
1957 Vespa GS150,456
1936 Mercedes Benz 500k Roadster,456
1917 Grand Touring Sedan,458
1911 Ford Town Car,458
1932 Model A Ford J-Coupe,458
1928 Mercedes-Benz SSK,458
1939 Chevrolet Deluxe Coupe,458
1938 Cadillac V-16 Presidential Limousine,458
1936 Mercedes Benz 500k Roadster,458
2001 Ferrari Enzo,458
1939 Cadillac Limousine,458
1962 Volkswagen Microbus,458
1969 Corvair Monza,458
1980?s GM Manhattan Express,458
1996 Peterbilt 379 Stake Bed with Outrigger,458
1982 Camaro Z28,458
1936 Chrysler Airflow,458
1995 Honda Civic,462
1956 Porsche 356A Coupe,462
2002 Chevy Corvette,462
1969 Chevrolet Camaro Z28,462
1982 Lamborghini Diablo,462
1966 Shelby Cobra 427 S/C,462
1970 Chevy Chevelle SS 454,462
1948 Porsche Type 356 Roadster,462
1949 Jaguar XK 120,462
1992 Ferrari 360 Spider red,462
1965 Aston Martin DB5,462
1969 Dodge Charger,462
1948 Porsche 356-A Roadster,462
1993 Mazda RX-7,462
1999 Indy 500 Monte Carlo SS,462
1969 Dodge Super Bee,471
1976 Ford Gran Torino,471
1964 Mercedec Tour Bus,473
1992 Ferrari 360 Spider red,473
1952 Alpine Renault 1300,475
1937 Lincoln Berline,475
1936 Mercedes-Benz 500K Special Roadster,475
1913 Ford Model T Speedster,475
1934 Ford V8 Coupe,475
18th Century Vintage Horse Carriage,475
1917 Maxwell Touring Car,475
1939 Cadillac Limousine,475
1936 Chrysler Airflow,475
1940 Ford Pickup Truck,475
1911 Ford Town Car,484
1936 Mercedes Benz 500k Roadster,484
1993 Mazda RX-7,486
1996 Moto Guzzi 1100i,486
2002 Yamaha YZR M1,486
1974 Ducati 350 Mk3 Desmo,486
1961 Chevrolet Impala,486
1956 Porsche 356A Coupe,486
1971 Alpine Renault 1600s,486
1982 Lamborghini Diablo,486
1982 Ducati 996 R,486
1992 Ferrari 360 Spider red,486
1999 Indy 500 Monte Carlo SS,486
1995 Honda Civic,486
1917 Grand Touring Sedan,486
1965 Aston Martin DB5,486
1936 Harley Davidson El Knucklehead,486
1948 Porsche Type 356 Roadster,486
1960 BSA Gold Star DBD34 1960,486
1954 Greyhound Scenicruiser,487
1957 Chevy Pickup,487
1998 Chrysler Plymouth Prowler,487
1958 Chevy Corvette Limited Edition,487
1952 Citroen-15CV,489
1957 Ford Thunderbird,489
1932 Alfa Romeo 8C2300 Spider Sport,489
1939 Chevrolet Deluxe Coupe,495
1932 Model A Ford J-Coupe,495
1980s Black Hawk Helicopter,496
The Queen Mary,496
The Titanic,496
The USS Constitution Ship,496
The Mayflower,496
The Schooner Bluenose,496
1940 Ford Delivery Sedan,496
1912 Ford Model T Delivery Wagon,496
1900s Vintage Bi-Plane,496
1928 British Royal Navy Airplane,496
1904 Buick Runabout,496
1941 Chevrolet Special Deluxe Cabriolet,496
Collectable Wooden Train,496
1903 Ford Model A,496
1999 Yamaha Speed Boat,496
P-51-D Mustang,496
18th century schooner,496
Pont Yacht,496
