CUSTOMERNUMBER,BUYPRICE,CREDITLIMIT,TERRITORY
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,< 30    ,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,< 30    ,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
347,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,< 30    ,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
362,30 - 100,< 100k     ,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,< 30    ,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,< 30    ,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,< 30    ,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,> 100   ,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,< 30    ,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,< 30    ,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,30 - 100,100k - 200k,NA
363,< 30    ,100k - 200k,NA
363,< 30    ,100k - 200k,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,< 30    ,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,< 30    ,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,< 30    ,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
379,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,> 100   ,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
424,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,< 30    ,< 100k     ,NA
447,< 30    ,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,< 30    ,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
447,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,< 30    ,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,< 30    ,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,< 30    ,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,< 30    ,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
450,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,> 100   ,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,< 30    ,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
455,30 - 100,< 100k     ,NA
456,< 30    ,< 100k     ,NA
456,30 - 100,< 100k     ,NA
456,30 - 100,< 100k     ,NA
456,30 - 100,< 100k     ,NA
456,30 - 100,< 100k     ,NA
456,30 - 100,< 100k     ,NA
456,30 - 100,< 100k     ,NA
456,< 30    ,< 100k     ,NA
456,30 - 100,< 100k     ,NA
456,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,< 30    ,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,< 30    ,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,< 30    ,< 100k     ,NA
462,30 - 100,< 100k     ,NA
462,30 - 100,< 100k     ,NA
475,< 30    ,< 100k     ,NA
475,30 - 100,< 100k     ,NA
475,30 - 100,< 100k     ,NA
475,30 - 100,< 100k     ,NA
475,30 - 100,< 100k     ,NA
475,30 - 100,< 100k     ,NA
475,< 30    ,< 100k     ,NA
475,30 - 100,< 100k     ,NA
475,30 - 100,< 100k     ,NA
475,30 - 100,< 100k     ,NA
475,30 - 100,< 100k     ,NA
475,< 30    ,< 100k     ,NA
475,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,< 30    ,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,< 30    ,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,< 30    ,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,< 30    ,< 100k     ,NA
486,30 - 100,< 100k     ,NA
486,30 - 100,< 100k     ,NA
487,30 - 100,< 100k     ,NA
487,< 30    ,< 100k     ,NA
487,30 - 100,< 100k     ,NA
487,30 - 100,< 100k     ,NA
487,30 - 100,< 100k     ,NA
487,30 - 100,< 100k     ,NA
487,30 - 100,< 100k     ,NA
487,< 30    ,< 100k     ,NA
487,< 30    ,< 100k     ,NA
487,< 30    ,< 100k     ,NA
487,30 - 100,< 100k     ,NA
487,30 - 100,< 100k     ,NA
487,> 100   ,< 100k     ,NA
487,< 30    ,< 100k     ,NA
487,< 30    ,< 100k     ,NA
495,> 100   ,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,> 100   ,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,< 30    ,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,< 30    ,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,< 30    ,< 100k     ,NA
495,< 30    ,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,30 - 100,< 100k     ,NA
495,< 30    ,< 100k     ,NA
